title,author,journal,number,cites,year_pre_clean,cid,pubid,author_orig,year
"Earthquake behavior of the Enriquillo fault zone, Haiti revealed by interactive terrain visualization","ES Cowgill, TS Bernardin, ME Oskin, CJ Bowles, MB Yikilmaz, O Kreylos, AJ Elliott MS Bishop, RD Gold, A Morelan, GW Bawden, B Hamann, LH Kellogg",AGU Fall Meeting Abstracts,,0,2010,NA,JV2RwH3_ST0C,"E Cowgill, TS Bernardin, ME Oskin, CJ Bowles, MB Yikilmaz, O Kreylos, ...",2010
Earthquake cycles on the San Andreas fault system in northern California,"MB Yikilmaz, DL Turcotte, O Beketova, LH Kellogg, JB Rundle",International Symposium on Geodesy for Earthquake and Natural Hazards (GENAH …,,2,2015,1.27286E+17,7T2F9Uy0os0C,"MB Yıkılmaz, DL Turcotte, O Beketova, LH Kellogg, JB Rundle",2015
Earthquake precursors: activation or quiescence?,"JB Rundle, JR Holliday, M Yoder, MK Sachs, A Donnellan, DL Turcotte, KF Tiampo, W Klein, LH Kellogg",Geophysical Journal International,"187 (1), 225-236",30,2011,1.79684E+19,u9iWguZQMMsC,"JB Rundle, JR Holliday, M Yoder, MK Sachs, A Donnellan, DL Turcotte, ...",2011
Earthquake Simulations and Historical Patterns of Events: Forecasting the Next Great Earthquake in California,"MK Sachs, JB Rundle, EM Heien, DL Turcotte, MB Yikilmaz, LH Kellogg",AGU Fall Meeting Abstracts,,0,2013,NA,5awf1xo2G04C,"MK Sachs, JB Rundle, EM Heien, DL Turcotte, M Yikilmaz, LH Kellogg",2013
Effect of mantle plumes on the growth of D” by reaction between the core and mantle,"LH Kellogg, SD King",Geophysical research letters,"20 (5), 379-382",87,1993,1.3979E+19,IjCSPb-OGe4C,"LH Kellogg, SD King",1993
Effect of variable heat production on the thermal evolution of the mantle,"LH Kellogg, S Ferrachat, CS Natarajan",AGU Fall Meeting Abstracts,,0,2003,NA,kuK5TVdYjLIC,"LH Kellogg, S Ferrachat, CS Natarajan",2003
Effects of dynamic triggering on patterns of seismicity in Virtual California earthquake simulation,"MB Yikilmaz, DL Turcotte, G Yakovlev, JB Rundle, LH Kellogg",AGU Fall Meeting Abstracts,,0,2009,NA,bFI3QPDXJZMC,"MB Yikilmaz, DL Turcotte, G Yakovlev, JB Rundle, LH Kellogg",2009
Enabling scientific workflows in virtual reality,"O Kreylos, GW Bawden, T Bernardin, MI Billen, ES Cowgill, RD Gold, B Hamann, MA Jadamec, LH Kellogg, OG Staadt, DY Sumnder",Proceedings of the,2006 ACM international conference on Virtual reality …,61,2006,3.8969E+18,roLk4NBRz8UC,"O Kreylos, G Bawden, T Bernardin, MI Billen, ES Cowgill, RD Gold, ...",2006
Environment-Independent 3D Visualization Software for Geo-Science Applications,"O Kreylos, MI Billen, LH Kellogg, B Hamann, DY Sumner, O Staadt, MA Jadamec",AGU Fall Meeting Abstracts,,0,2006,NA,cFHS6HbyZ2cC,"O Kreylos, MI Billen, LH Kellogg, B Hamann, DY Sumner, O Staadt, ...",2006
"Estimates of Recent Horizontal Strain from GPS in the White Wolf Fault Region, California.","DM Manaker, GW Bawden, LH Kellogg",AGU Fall Meeting Abstracts,,0,2001,NA,blknAaTinKkC,"DM Manaker, GW Bawden, LH Kellogg",2001
"Evidence of strain partitioning between the Sierra Madre fault and the Los Angeles Basin, southern California from numerical models","MT Glasscoe, A Donnellan, LH Kellogg, GA Lyzenga",Computational Earthquake Science Part II,2343-2357,1,2004,1.07558E+19,zA6iFVUQeVQC,"MT Glasscoe, A Donnellan, LH Kellogg, GA Lyzenga",2004
Experiences with automated build and test for geodynamics simulation codes,"EM Heien, TL Miller, B Gietzel, LH Kellogg",arXiv preprint arXiv:,:1309.1199,3,2013,1.73184E+19,_B80troHkn4C,"EM Heien, TL Miller, B Gietzel, LH Kellogg",2013
Exploration of time-dependent paleoceanographic flow data in virtual reality,"R Westerteiger, G Streletz, O Kreylos, GA Gebbie, HJ Spero, LH Kellogg, A Gerndt, B Hamann, H Hagen",,,0,NA,NA,dTyEYWd-f8wC,"R Westerteiger, G Streletz, O Kreylos, GA Gebbie, HJ Spero, LH Kellogg, ...",2013
Exploring Tensor Fields Using a Fabric Like Texture on Arbitrary Surfaces,"I Hotz, ZL Feng, B Hamann, DM Manaker, NS Conjeepuram, LH Kellogg",AGU Fall Meeting Abstracts,,0,2005,NA,pyW8ca7W8N0C,"I Hotz, ZL Feng, B Hamann, DM Manaker, NS Conjeepuram, LH Kellogg",2005
Exploring the effect of variable material properties at depth on deep mantle convection,"JB Naliboff, LH Kellogg, DL Turcotte",AGU Fall Meeting Abstracts,,0,2003,NA,dshw04ExmUIC,"JB Naliboff, LH Kellogg, DL Turcotte",2003
Extracting and visualizing structural features in environmental point cloud LiDaR data sets,"P Keller, O Kreylos, M Vanco, M Hering-Bertram, ES Cowgill, LH Kellogg, B Hamann, H Hagen",Topological Methods in Data Analysis and Visualization,179-192,13,2011,9.30241E+18,2P1L_qKh6hAC,"P Keller, O Kreylos, M Vanco, M Hering-Bertram, ES Cowgill, LH Kellogg, ...",2011
Extraction of Features from High-resolution 3D LiDaR Point-cloud Data,"P Keller, O Kreylos, B Hamann, LH Kellogg, ES Cowgill, MB Yikilmaz, M Hering-Bertram, H Hagen",AGU Fall Meeting Abstracts,,2,2008,1.17952E+19,yD5IFk8b50cC,"P Keller, O Kreylos, B Hamann, LH Kellogg, ES Cowgill, MB Yikilmaz, ...",2008
Fast cleaning in the deep,LH Kellogg,Nature,"371, 656",0,1994,NA,g5m5HwL7SMYC,LH Kellogg,1994
"Fault interaction in the Los Angeles Basin and Transverse Ranges, southern California, from elastic half-space and viscoelastic finite element models","MT Glasscoe, LH Kellogg, GA Lyzenga, A Donnellan",,,0,NA,NA,GnPB-g6toBAC,"MT Glasscoe, LH Kellogg, GA Lyzenga, A Donnellan",2002
